"","SU_ID","ID","lon","lat","y.logsize","y.pres","Forest","Agriculture","Builtup","Roads","Bare","Quarry","RGA","CRL","YPD","YPC","YPV","YPI","BAP","BAO","BAY","IGO","IPL","IGY","IBP","OPL","PBA","PPD","PCR","PLI","PIC","PLP","scaledSU_Area","scaledSU_Perimeter","scaledSU_P.A","scaledSU_P.sqrt.A","scaledSU_Max.Distance","scaledSU_D.A","scaledSU_D.sqrt.A","scaledDist2Stream..MEAN.","scaledDist2Stream..STDDEV","scaledEastness..MEAN.","scaledEastness..STDDEV.","scaledElevation..MEAN.","scaledElevation..STDDEV.","scaledNorthness..MEAN.","scaledNorthness..STDDEV.","scaledPlanarCurvature..MEAN.","scaledPlanarCurvature..STDDEV.","scaledProfileCurvature..MEAN.","scaledProfileCurvature..STDDEV.","scaledRSP..MEAN.","scaledRSP..STDDEV.","scaledSlope..MEAN.","scaledSlope..STDDEV.","scaledTWI..MEAN.","scaledTWI..STDDEV.","scaledSU_Area.levels","scaledSU_Perimeter.levels","scaledSU_P.A.levels","scaledSU_P.sqrt.A.levels","scaledSU_Max.Distance.levels","scaledSU_D.A.levels","scaledSU_D.sqrt.A.levels","scaledDist2Stream..MEAN.levels","scaledDist2Stream..STDDEV.levels","scaledEastness..MEAN.levels","scaledEastness..STDDEV.levels","scaledElevation..MEAN.levels","scaledElevation..STDDEV.levels","scaledNorthness..MEAN.levels","scaledNorthness..STDDEV.levels","scaledPlanarCurvature..MEAN.levels","scaledPlanarCurvature..STDDEV.levels","scaledProfileCurvature..MEAN.levels","scaledProfileCurvature..STDDEV.levels","scaledRSP..MEAN.levels","scaledRSP..STDDEV.levels","scaledSlope..MEAN.levels","scaledSlope..STDDEV.levels","scaledTWI..MEAN.levels","scaledTWI..STDDEV.levels"
"1","Pol_1",1,-61.44255043,15.63597747,8.488793717,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.49840246,-0.548192757,0.104827792,-0.214335468,-0.518390638,0.147936982,0.022794913,-0.121617507,-0.039446908,1.573270817,-1.088529435,-0.180184942,0.686186994,0.631212396,-0.129413647,0.220721288,2.406848402,0.452222053,1.449655094,0.407884877,0.526832153,2.335648416,-0.380468406,-1.590594824,-0.615758491,-0.488172421,-0.553739653,0.11546667,-0.176414025,-0.500001887,0.240719642,-0.037740646,-0.118508968,-0.011847808,1.53504503,-1.026848169,-0.177911057,0.707975479,0.664616401,-0.179387199,0.195313528,2.790004162,0.406720893,1.682377892,0.378991159,0.501249719,2.092975477,-0.383635034,-1.469809461,-0.579984617
"2","Pol_2",2,-61.43916217,15.63859735,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.513339188,-0.631173786,0.028612553,-0.44753197,-0.624213354,0.077703096,-0.219816509,0.276974596,-0.203807693,-0.115452136,0.557508617,-0.783277987,0.328526849,1.559537741,-1.027281306,-0.12050493,5.16888814,-0.088565384,6.198143541,-0.148861238,0.85855948,2.902767012,2.541054785,-2.134687417,-0.126157923,-0.531436775,-0.638006287,-0.024521731,-0.496738267,-0.59817902,0.062177711,-0.169668729,0.303286717,-0.240722746,-0.114099385,0.512738062,-0.774389267,0.328921426,1.522072746,-1.050951202,-0.110595904,2.790004162,-0.075345452,3.453399145,-0.208243045,0.866875881,2.092975477,3.315403957,-1.469809461,-0.153363652
"3","Pol_3",3,-61.44125389,15.63606344,6.396929655,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.487166706,-0.494954316,0.137826347,-0.081383148,-0.485829617,0.128419355,0.052526061,0.297552078,0.312341208,-1.354387712,-0.666411006,-0.233809547,0.66895259,1.076363024,-0.853385291,0.139162378,2.501626309,0.894936044,1.132308129,0.451493072,0.395774951,2.134608061,-0.666580971,-1.355162268,-0.490410056,-0.488172421,-0.471201706,0.11546667,-0.051762666,-0.500001887,0.062177711,0.089883829,0.303286717,0.303783124,-1.305759394,-0.660981342,-0.177911057,0.707975479,1.056048629,-0.852462117,0.119598403,2.790004162,0.780260823,1.127997039,0.475855421,0.360034477,2.092975477,-0.710244545,-1.210417831,-0.492120217
"4","Pol_4",4,-61.43968563,15.63526306,7.534762657,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.285056338,-0.012882742,-0.066175644,0.468127005,0.140069561,-0.023285839,0.680979682,0.189625788,-0.073770843,1.687613184,-1.783263999,-0.101254446,1.618744205,-0.021545491,0.141877169,0.757333182,1.314033561,0.673271608,1.394676013,0.61973888,0.133924394,1.55464388,0.6786233,-1.261681852,-0.644787486,-0.318266217,0.05728393,-0.024521731,0.424948987,0.07814451,-0.056332731,0.62447795,0.125280362,-0.135471995,1.719555603,-1.630739471,-0.177911057,1.844132682,0.056351855,0.091122992,0.89631363,1.319425739,0.780260823,1.682377892,0.595873213,0.125096133,1.61573621,0.796023726,-1.210417831,-0.691509253
"5","Pol_5",5,-61.42271103,15.63621647,NA,0,0.09,0.88,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.563000778,-0.471386896,0.930032073,0.653834535,-0.523697304,0.6862982,0.53763982,-1.042690926,-0.54948087,1.108940134,0.446027793,-0.880899368,-0.27902459,0.566178001,0.910405509,-2.213850287,1.9021958,-1.869874315,2.734106409,-0.967188487,-0.466513466,1.476005083,1.7581322,-0.686177878,0.848334993,-0.568425919,-0.471201706,1.139443662,0.61010956,-0.500001887,0.683562775,0.62447795,-1.106103596,-0.554850417,1.185465388,0.512738062,-0.868597279,-0.260582205,0.664616401,0.87053256,-2.534623259,1.833998568,-1.616927832,3.453399145,-1.094579393,-0.277906344,1.61573621,1.755077505,-0.68176732,0.808002953
"6","Pol_6",6,-61.41690752,15.63311065,6.12249281,1,0,0.98,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.41368527,0.173776031,0.781929272,1.75515693,0.402838063,0.769839559,2.070727573,-0.2228346,-0.145202291,1.040577561,0.112041249,-0.916902933,-0.177652824,1.050894005,0.200349348,0.676790582,2.70217387,0.786409628,5.732342914,-0.762496679,-0.011369895,2.327966938,3.401643965,-1.10148313,0.347585204,-0.441000955,0.186951111,0.770629221,1.867996434,0.417489737,0.683562775,1.883466031,-0.23793848,-0.135471995,1.011325909,0.076803693,-0.96709469,-0.112401368,1.056048629,0.226870221,0.632072925,2.790004162,0.780260823,3.453399145,-0.757452752,-0.0559914,2.092975477,3.315403957,-1.037484871,0.3500675
"7","Pol_7",7,-61.44627365,15.63805932,9.047821442,1,0.96,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.107656057,0.025780703,-0.432225179,0.00403945,0.403550895,-0.232952471,0.621038816,0.727052083,1.13408535,-0.044024506,0.814498925,-0.648468196,0.472698943,1.472770437,-0.698536517,-0.113644835,4.251180839,0.087290451,5.212222549,-0.091813154,0.64427494,2.826288478,1.798289024,-2.040437655,-0.141663982,-0.062858841,0.05728393,-0.423269287,-0.051762666,0.417489737,-0.25646234,0.62447795,0.708151693,1.039396634,-0.114099385,0.842987394,-0.684457355,0.522994543,1.522072746,-0.679621643,-0.110595904,2.790004162,0.103277346,3.453399145,-0.080010728,0.669567144,2.092975477,1.755077505,-1.469809461,-0.153363652
"8","Pol_8",8,-61.4445703,15.63249173,9.068776808,1,0.88,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.465408764,1.379755341,-0.868839928,0.241239401,1.737053531,-0.766877865,0.299716739,0.093067178,0.402711352,-1.2419335,-0.435387759,0.207607638,1.968917069,-0.250566446,1.241573628,0.371897461,0.989811546,0.359989972,0.546507036,0.237425548,0.572910083,0.923796701,-0.314495353,-0.721962229,-0.250216951,1.452242482,1.680507203,-0.84275364,0.272137375,1.831147405,-0.795784653,0.245685272,0.125280362,0.516282626,-1.305759394,-0.497573306,0.140055029,1.844132682,-0.336296781,1.265786567,0.450153362,1.067721612,0.406720893,0.515010717,0.263801838,0.561274509,0.869922522,-0.284470665,-0.68176732,-0.242071067
"9","Pol_9",9,-61.45598297,15.63658616,NA,0,0.79,0.19,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.47648523,-0.558507884,-0.049646314,-0.381331809,-0.621794504,-0.115107403,-0.421377669,0.9296235,-0.602638555,-0.280943634,0.361854176,-0.764495667,-0.386206299,1.554403894,-0.857261262,0.874717034,-0.328990879,1.259252765,-0.218635414,0.844216307,-0.141340054,-0.022027609,-0.56147474,-0.439720634,-1.180963538,-0.488172421,-0.553739653,-0.024521731,-0.395212393,-0.59817902,-0.155029823,-0.389910533,0.956484094,-0.554850417,-0.327758459,0.375904988,-0.774389267,-0.39148586,1.522072746,-0.852462117,0.89631363,-0.347345025,1.250336997,-0.218686133,0.883270454,-0.0559914,-0.093804399,-0.590421826,-0.445244206,-1.261588409
"10","Pol_10",10,-61.45764629,15.63261265,NA,0,0.59,0.37,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.392204189,0.282902612,-1.096403728,-1.102385767,0.287822819,-0.984233259,-1.150829455,-0.06337549,0.182481035,-1.282470851,-0.451897807,-0.60549986,0.221222884,0.537327971,0.947054138,0.084535694,-0.31661652,0.507407582,-0.50803637,0.605999622,0.500616491,-0.616823391,-0.895020248,-0.09943833,-0.589831612,1.452242482,0.348363315,-1.060099308,-1.116706605,0.238265029,-0.983715746,-1.146960429,-0.002676905,0.130528823,-1.305759394,-0.497573306,-0.574007687,0.179568029,0.445372988,0.87053256,0.057984585,-0.347345025,0.55014178,-0.505424356,0.595873213,0.501249719,-0.65291293,-0.863379605,-0.080562017,-0.579984617
