SU_ID,LS_Maria2017,SU_Area,SU_Perimeter,SU_P.A,SU_P.sqrt.A.,SU_Max.Distance,SU_D.A,SU_D.sqrt.A.,Dist2Stream..MEAN.,Dist2Stream..STDDEV.,Eastness..MEAN.,Eastness..STDDEV.,Elevation..MEAN.,Elevation..STDDEV.,Northness..MEAN.,Northness..STDDEV.,PlanarCurvature..MEAN.,PlanarCurvature..STDDEV.,ProfileCurvature..MEAN.,ProfileCurvature..STDDEV.,RSP..MEAN.,RSP..STDDEV.,Slope..MEAN.,Slope..STDDEV.,TWI..MEAN.,TWI..STDDEV.,UniqueID,Forest,Agriculture,Builtup,Roads,Bare,Quarry,RGA,CRL,YPD,YPC,YPV,YPI,BAP,BAO,BAY,IGO,IPL,IGY,IBP,OPL,PBA,PPD,PCR,PLI,PIC,PLP
Pol_1,4860,71373,1851.006934,0.025934,6.928529,684.01462,0.009584,2.560345,77.219986,47.24253,0.795855,0.297289,227.321806,81.897662,0.292876,0.438699,0.001394,0.058311,0.001671,0.055758,0.544256,0.31097,48.920128,8.748705,3.258626,1.513215,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pol_2,0,66762.66631,1646.793499,0.024666,6.373417,608.110793,0.009109,2.353509,95.051068,43.363227,-0.063642,0.53557,93.319392,67.776228,0.784357,0.306427,5.10E-05,0.098265,-0.001847,0.149382,0.421514,0.342402,54.518166,18.549459,2.701341,1.837867,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pol_3,600,74841,1982.024892,0.026483,7.245015,707.369776,0.009452,2.585692,95.971605,55.545561,-0.694214,0.358395,215.406851,81.217199,0.528551,0.332045,0.001073,0.059682,0.004551,0.049501,0.55387,0.298552,46.935655,7.788891,3.499767,1.596333,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pol_4,1872,137223.8875,3168.386327,0.023089,8.553095,1156.310653,0.008426,3.121474,91.143505,46.432404,0.854051,0.196719,244.859526,118.717658,-0.052712,0.478665,0.003506,0.042503,0.003109,0.054674,0.590962,0.273741,41.210818,12.301611,3.595514,1.493966,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pol_5,0,51434.24223,2040.023497,0.039663,8.995162,680.208289,0.013225,2.999271,36.015618,35.204523,0.559528,0.519432,71.628708,43.788379,0.258445,0.591883,-0.008188,0.051011,-0.013435,0.081083,0.241103,0.216848,40.434573,15.92301,4.184972,2.484049,5,0.09,0.88,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pol_6,456,97521.59875,3627.747097,0.037199,11.616802,1344.787529,0.01379,4.30629,72.692023,44.746453,0.524734,0.471084,63.629006,47.790823,0.515067,0.487279,0.003189,0.062583,0.003845,0.140198,0.28623,0.259974,48.844304,21.436454,3.759597,2.152004,6,0,0.98,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pol_7,8500,191979.8207,3263.535725,0.016999,7.448359,1345.298824,0.007008,3.070372,115.185357,74.940665,-0.027288,0.572772,123.273041,73.46855,0.73842,0.354857,7.80E-05,0.08499,-0.000703,0.129943,0.434091,0.322098,53.763245,16.057723,2.797876,1.827585,7,0.96,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pol_8,8680,677518.1273,6595.620379,0.009735,8.013001,2301.78489,0.003397,2.796432,86.82394,57.67851,-0.636979,0.391838,313.486192,132.543473,-0.173962,0.64067,0.001989,0.037813,0.001071,0.037951,0.506676,0.315336,34.983714,8.970023,4.14832,1.755604,8,0.88,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pol_9,0,78137.91807,1825.621763,0.023364,6.531003,609.84577,0.007805,2.18167,124.247422,33.949876,-0.147871,0.507247,97.492672,39.556542,0.781639,0.331474,0.003968,0.018736,0.006921,0.022865,0.640451,0.247659,25.647465,8.141488,4.437405,1.13843,9,0.79,0.19,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pol_10,0,654922.984,3896.303829,0.005949,4.814572,1262.290145,0.001927,1.559783,79.825452,52.480554,-0.657611,0.389448,132.820259,63.539564,0.243171,0.597282,0.000858,0.018915,0.00203,0.017159,0.587933,0.308486,19.776225,7.022552,4.785938,1.530407,10,0.59,0.37,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
